"What is your present religion, if any?",,Do you attend religious services,"How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)",How often do you: Pray aloud before meals in the presence of people who don't belong to your religion,How often do you: Tell someone you'll pray for him or her,How often do you: Ask or offer to pray with someone,"How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)",What is your age?,What is your gender?,How much total combined money did all members of your HOUSEHOLD earn last year?,US Region
Protestant,,Weekly or more,A few times per week,Not applicable to my religious beliefs,A few times per week,Every day,Every day,A few times per week,A few times per week,Not applicable to my religious beliefs,A few times per month,Not applicable to my religious beliefs,60+,Female,"$0 to $9,999",South Atlantic
Roman Catholic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
Protestant,,Less than weekly,Never,Never,Never,Once a month or less,Once a month or less,Never,Never,Never,Never,Never,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
None of these,christian,Less than weekly,Every day,Every day,Every day,Never,Never,Once a year or less,Never,Once a year or less,Never,Once a year or less,45 - 59,Female,"$0 to $9,999",East North Central
Atheist,,,,,,,,,,,,,60+,Male,"$50,000 to $74,999",West South Central
Roman Catholic,,Weekly or more,Never,Never,A few times per month,Once a month or less,A few times per month,Once a month or less,Never,Never,Never,Never,60+,Male,"$150,000 to $174,999",East North Central
Agnostic,,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$150,000 to $174,999",Mountain
None of these,SPIRITUALIST,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per week,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,"$25,000 to $49,999",Pacific
Roman Catholic,,Less than weekly,Once a month or less,Once a month or less,Once a year or less,Never,Never,Never,Never,Once a year or less,Never,Never,30 - 44,Male,"$150,000 to $174,999",West North Central
Jewish,,Weekly or more,Not applicable to my religious beliefs,Never,Never,Never,Not applicable to my religious beliefs,Once a year or less,Never,Once a year or less,A few times per week,Never,30 - 44,Female,"$50,000 to $74,999",New England
Orthodox Christian,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,A few times per month,A few times per month,Once a year or less,Never,Never,Not applicable to my religious beliefs,A few times per month,Never,18 - 29,Female,"$10,000 to $24,999",Mountain
None of these,Christian,Weekly or more,Every day,Every day,Never,Every day,Never,A few times per week,Once a month or less,Never,Never,Never,30 - 44,Female,"$0 to $9,999",New England
Atheist,,,,,,,,,,,,,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
None of these,lutheran,Less than weekly,A few times per week,Once a month or less,Once a month or less,A few times per month,Once a year or less,Once a month or less,Once a year or less,Not applicable to my religious beliefs,Once a year or less,Once a year or less,30 - 44,Male,"$10,000 to $24,999",East North Central
Roman Catholic,,Less than weekly,A few times per month,Never,Once a month or less,A few times per week,Once a year or less,A few times per month,Never,Once a year or less,Never,Once a year or less,45 - 59,Male,"$50,000 to $74,999",East North Central
Orthodox Christian,,Weekly or more,Every day,Every day,Never,A few times per month,Once a month or less,Never,Never,Once a year or less,Every day,Once a year or less,45 - 59,Male,"$25,000 to $49,999",East North Central
Protestant,,Weekly or more,Every day,Not applicable to my religious beliefs,Every day,A few times per week,A few times per month,A few times per month,A few times per month,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,45 - 59,Male,"$25,000 to $49,999",Pacific
Protestant,,Weekly or more,A few times per month,Never,Once a year or less,A few times per week,A few times per month,A few times per month,Never,Never,Never,Never,45 - 59,Female,Prefer not to answer,West South Central
None of these,UCC,Less than weekly,Never,Never,Never,Once a year or less,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$75,000 to $99,999",Mountain
None of these,non demenation,Less than weekly,Not applicable to my religious beliefs,Never,,Every day,Once a year or less,Once a month or less,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,30 - 44,Female,"$10,000 to $24,999",East North Central
None of these,Baptist,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,Never,Never,Never,Never,Never,Never,Once a month or less,30 - 44,Male,"$0 to $9,999",South Atlantic
None of these,Lutheran ,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,18 - 29,Female,Prefer not to answer,West North Central
Atheist,,,,,,,,,,,,,30 - 44,Male,"$75,000 to $99,999",Mountain
Roman Catholic,,Never,Never,Never,Never,Once a year or less,Never,Once a year or less,Never,Never,Once a month or less,Never,60+,Female,"$200,000 and up",Middle Atlantic
Protestant,,Weekly or more,Never,Never,Never,A few times per month,Never,A few times per month,Never,Never,Once a year or less,Never,30 - 44,Female,"$10,000 to $24,999",Middle Atlantic
Jewish,,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a year or less,Once a year or less,Never,Never,Never,Never,Never,60+,Male,Prefer not to answer,Middle Atlantic
Protestant,,Never,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,18 - 29,Female,Prefer not to answer,West North Central
Protestant,,Less than weekly,Never,Never,Once a month or less,Once a month or less,Once a year or less,Once a month or less,Once a year or less,Never,Once a year or less,Never,60+,Female,"$100,000 to $124,999",East North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",Pacific
None of these,Pagan,Never,Never,Never,Once a month or less,Not applicable to my religious beliefs,Never,Never,Never,Not applicable to my religious beliefs,Every day,Never,18 - 29,Female,"$25,000 to $49,999",West South Central
None of these,Baptist ,Never,Never,Never,Every day,Every day,A few times per week,Never,Never,Never,A few times per week,Never,30 - 44,Female,"$10,000 to $24,999",East South Central
Buddhist,,Never,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,30 - 44,Male,"$50,000 to $74,999",Pacific
None of these,Free Thinker,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Male,"$25,000 to $49,999",South Atlantic
None of these,Christianity,Never,Never,Never,Never,A few times per week,A few times per week,Every day,Never,Never,Never,Never,18 - 29,Female,"$0 to $9,999",South Atlantic
Atheist,,,,,,,,,,,,,18 - 29,Male,"$0 to $9,999",South Atlantic
Buddhist,,Never,Once a year or less,Never,A few times per month,A few times per month,A few times per month,Once a year or less,Once a month or less,A few times per month,Once a month or less,A few times per month,18 - 29,Male,"$0 to $9,999",New England
None of these,baptist,Less than weekly,Never,Never,Every day,A few times per month,A few times per month,A few times per month,Never,Every day,Every day,Never,18 - 29,Female,"$25,000 to $49,999",South Atlantic
None of these,Deist,Never,Once a year or less,Never,Never,Never,Never,Once a year or less,Once a year or less,Never,Never,Never,18 - 29,Male,"$25,000 to $49,999",West South Central
Jewish,,Weekly or more,A few times per month,A few times per month,Once a year or less,A few times per week,Once a month or less,A few times per month,Once a year or less,A few times per month,Once a year or less,A few times per month,18 - 29,Male,"$25,000 to $49,999",East South Central
Atheist,,,,,,,,,,,,,18 - 29,Male,"$25,000 to $49,999",Mountain
Mormon,,Weekly or more,Every day,Not applicable to my religious beliefs,A few times per month,A few times per week,A few times per month,A few times per month,A few times per month,Once a month or less,Every day,Never,30 - 44,Female,"$10,000 to $24,999",Mountain
Atheist,,,,,,,,,,,,,30 - 44,Female,"$125,000 to $149,999",Middle Atlantic
Protestant,,Weekly or more,Never,Not applicable to my religious beliefs,Never,A few times per week,A few times per month,A few times per month,Once a year or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Female,"$125,000 to $149,999",East South Central
Protestant,,Less than weekly,Every day,A few times per week,A few times per week,A few times per week,A few times per week,A few times per week,A few times per month,Never,Never,Once a year or less,60+,Male,"$125,000 to $149,999",Middle Atlantic
Protestant,,Less than weekly,Every day,,Never,Once a month or less,Every day,Never,Never,Never,Never,Never,30 - 44,Male,"$100,000 to $124,999",East North Central
Protestant,,Weekly or more,Every day,Never,A few times per month,A few times per week,Every day,Every day,A few times per month,Never,Never,Once a year or less,60+,Male,"$125,000 to $149,999",East North Central
Orthodox Christian,,Weekly or more,Every day,Every day,Every day,Every day,Every day,A few times per week,A few times per month,A few times per month,Not applicable to my religious beliefs,Never,45 - 59,Male,"$25,000 to $49,999",South Atlantic
Roman Catholic,,Weekly or more,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,Every day,45 - 59,Female,"$10,000 to $24,999",New England
None of these,New Thought,Less than weekly,Once a year or less,Never,Once a month or less,A few times per month,Once a year or less,Once a month or less,Once a year or less,Never,Never,Never,60+,Female,"$25,000 to $49,999",Pacific
None of these,None,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,60+,Female,"$25,000 to $49,999",New England
Protestant,,Less than weekly,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,45 - 59,Male,"$25,000 to $49,999",East North Central
None of these,Non denominational ,Less than weekly,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Once a month or less,Once a year or less,Once a year or less,Never,Never,Not applicable to my religious beliefs,Never,45 - 59,Female,"$25,000 to $49,999",East North Central
Atheist,,,,,,,,,,,,,18 - 29,Male,"$25,000 to $49,999",Mountain
Protestant,,Weekly or more,Never,Never,Never,Once a month or less,Once a year or less,Never,A few times per month,Never,Never,Never,18 - 29,Female,"$25,000 to $49,999",West North Central
Agnostic,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$100,000 to $124,999",East South Central
Protestant,,Never,Never,Never,Every day,A few times per week,Never,A few times per month,Never,Never,Once a year or less,Never,18 - 29,Female,"$0 to $9,999",Middle Atlantic
Atheist,,,,,,,,,,,,,30 - 44,Male,"$125,000 to $149,999",Pacific
Agnostic,,Never,Once a year or less,Never,Never,Once a month or less,Never,Not applicable to my religious beliefs,Once a year or less,Not applicable to my religious beliefs,Not applicable to my religious beliefs,Never,18 - 29,Male,"$100,000 to $124,999",East North Central
None of these,Christian,Never,Never,Never,Never,Once a month or less,Never,Never,Never,Never,Never,Never,30 - 44,Female,"$50,000 to $74,999",Pacific
Roman Catholic,,Never,Never,Never,Never,Never,Never,Once a year or less,Never,Never,Never,Once a year or less,18 - 29,Female,"$50,000 to $74,999",Pacific
Protestant,,Less than weekly,Once a year or less,Never,Never,Once a year or less,Once a year or less,Once a year or less,Once a year or less,Never,Not applicable to my religious beliefs,Not applicable to my religious beliefs,60+,Female,"$100,000 to $124,999",South Atlantic
